Date,AAPL,BP,GE,IBM,KO
2018-05-31,46.717498779296875,45.81999969482422,84.54933166503906,135.09559631347656,43.0
2018-06-01,47.560001373291016,45.91999816894531,84.66942596435547,135.70745849609375,43.119998931884766
2018-06-04,47.95750045776367,45.959999084472656,82.32750701904297,136.74952697753906,43.4900016784668
2018-06-05,48.32749938964844,46.290000915527344,82.86795043945312,137.3804931640625,43.11000061035156
2018-06-06,48.494998931884766,46.279998779296875,81.90716552734375,138.34608459472656,43.459999084472656
2018-06-07,48.3650016784668,47.20000076293945,82.74785614013672,138.96749877929688,43.439998626708984
2018-06-08,47.92499923706055,47.040000915527344,83.64859008789062,139.71319580078125,43.95000076293945
2018-06-11,47.807498931884766,47.119998931884766,83.94883728027344,140.13385009765625,44.130001068115234
2018-06-12,48.06999969482422,46.119998931884766,83.94883728027344,140.4110870361328,44.40999984741211
2018-06-13,47.67499923706055,46.0099983215332,83.40839385986328,139.91395568847656,44.18000030517578
2018-06-14,47.70000076293945,46.439998626708984,81.90716552734375,138.8145294189453,43.58000183105469
2018-06-15,47.209999084472656,45.130001068115234,79.86549377441406,138.9961700439453,44.119998931884766
2018-06-18,47.185001373291016,45.349998474121094,79.26499938964844,138.12619018554688,43.54999923706055
2018-06-19,46.42250061035156,45.150001525878906,77.76376342773438,137.5717010498047,43.599998474121094
2018-06-20,46.625,44.7599983215332,77.34342193603516,136.35755920410156,43.2599983215332
2018-06-21,46.3650016784668,44.15999984741211,76.62283325195312,135.03823852539062,43.09000015258789
2018-06-22,46.22999954223633,45.779998779296875,78.3642578125,135.06692504882812,43.25
2018-06-25,45.54249954223633,44.2400016784668,76.56278228759766,132.68641662597656,43.58000183105469
2018-06-26,46.10749816894531,44.88999938964844,82.50765228271484,132.9636688232422,43.33000183105469
2018-06-27,46.040000915527344,45.439998626708984,83.82874298095703,131.4340362548828,43.06999969482422
2018-06-28,46.375,45.66999816894531,83.048095703125,133.88145446777344,43.470001220703125
2018-06-29,46.27750015258789,45.65999984741211,81.72701263427734,133.55641174316406,43.86000061035156
2018-07-02,46.79499816894531,45.20000076293945,80.28583526611328,133.70936584472656,43.75
2018-07-03,45.97999954223633,45.900001525878906,80.28583526611328,133.43212890625,43.9900016784668
2018-07-05,46.349998474121094,46.0,80.64613342285156,135.2103271484375,44.65999984741211
2018-07-06,46.99250030517578,45.939998626708984,83.16819763183594,136.21414184570312,44.63999938964844
2018-07-09,47.64500045776367,46.599998474121094,83.76869201660156,138.04014587402344,44.400001525878906
2018-07-10,47.587501525878906,47.04999923706055,85.08977508544922,138.34608459472656,44.970001220703125
2018-07-11,46.970001220703125,45.13999938964844,84.0088882446289,138.5659637451172,44.790000915527344
2018-07-12,47.75749969482422,45.349998474121094,84.0088882446289,140.0095672607422,44.66999816894531
2018-07-13,47.83250045776367,45.369998931884766,83.40839385986328,139.48374938964844,44.7400016784668
2018-07-16,47.727500915527344,44.619998931884766,83.46844482421875,139.06309509277344,44.72999954223633
2018-07-17,47.86249923706055,44.43000030517578,82.20741271972656,137.1797332763672,45.25
2018-07-18,47.599998474121094,44.25,82.56770324707031,138.1644287109375,45.119998931884766
2018-07-19,47.970001220703125,44.439998626708984,82.4476089477539,142.67686462402344,45.11000061035156
